latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
29.899,76.738,316.3,1.6,1.2,08-10-2019,830,Aqua,MODIS,66,6.0NRT,302.2,10.8,D
30.59,76.819,317.4,1.6,1.3,08-10-2019,830,Aqua,MODIS,54,6.0NRT,300.9,13.9,D
30.59,76.812,316.2,1.6,1.3,08-10-2019,830,Aqua,MODIS,70,6.0NRT,301,11.4,D
30.444,73.855,335.6,1.1,1.1,08-10-2019,830,Aqua,MODIS,87,6.0NRT,303.6,31.9,D
30.45,73.748,314.5,1.1,1.1,08-10-2019,830,Aqua,MODIS,55,6.0NRT,301.4,5.2,D
30.546,73.785,320.6,1.1,1.1,08-10-2019,830,Aqua,MODIS,71,6.0NRT,302.7,12.5,D
30.534,73.542,315.7,1.1,1,08-10-2019,830,Aqua,MODIS,60,6.0NRT,302.5,6.5,D
30.542,73.449,314,1.1,1,08-10-2019,830,Aqua,MODIS,52,6.0NRT,301.4,5.1,D
31.871,74.47,309.6,1.1,1,09-10-2019,555,Terra,MODIS,41,6.0NRT,298.4,4.8,D
35.315,73.795,306.2,1,1,09-10-2019,555,Terra,MODIS,30,6.0NRT,292.2,6,D
30.553,73.75,315.4,1,1,09-10-2019,600,Terra,MODIS,62,6.0NRT,301.5,6,D
29.652,77.004,315.1,1.5,1.2,09-10-2019,600,Terra,MODIS,65,6.0NRT,300.5,8.9,D
30.7,73.694,316.5,1,1,09-10-2019,600,Terra,MODIS,63,6.0NRT,303.9,5.1,D
29.648,77.013,317.3,1.5,1.2,09-10-2019,600,Terra,MODIS,65,6.0NRT,300.1,12.5,D
29.574,76.617,315.2,2.8,1.6,09-10-2019,735,Aqua,MODIS,66,6.0NRT,298.6,33.5,D
29.577,76.609,316.6,2.8,1.6,09-10-2019,735,Aqua,MODIS,69,6.0NRT,298.5,41.2,D
30.93,74.527,315.5,1,1,10-10-2019,815,Aqua,MODIS,58,6.0NRT,301.2,6.7,D
30.841,73.908,316.1,1,1,10-10-2019,815,Aqua,MODIS,58,6.0NRT,303,5.6,D
30.839,73.897,320.3,1,1,10-10-2019,815,Aqua,MODIS,69,6.0NRT,304.4,9.4,D
30.88,74.113,320.4,1,1,10-10-2019,815,Aqua,MODIS,69,6.0NRT,303.2,8.8,D
30.951,74.537,314.7,1,1,10-10-2019,815,Aqua,MODIS,54,6.0NRT,301.9,6.3,D
31.074,75.294,313.2,1,1,10-10-2019,815,Aqua,MODIS,53,6.0NRT,301.3,5.4,D
31.228,76.105,321,1.1,1,10-10-2019,815,Aqua,MODIS,75,6.0NRT,303.8,12,D
31.01,74.244,316.2,1,1,10-10-2019,815,Aqua,MODIS,58,6.0NRT,302,5.6,D
31.299,74.986,313.5,1,1,10-10-2019,815,Aqua,MODIS,52,6.0NRT,300.9,6.3,D
31.331,75.088,316,1,1,10-10-2019,815,Aqua,MODIS,62,6.0NRT,300.9,7.3,D
31.273,74.67,314,1,1,10-10-2019,815,Aqua,MODIS,50,6.0NRT,300.7,6,D
31.229,74.359,316.4,1,1,10-10-2019,815,Aqua,MODIS,59,6.0NRT,302.2,6.8,D
31.344,75.053,322.4,1,1,10-10-2019,815,Aqua,MODIS,74,6.0NRT,301.4,13.4,D
31.414,75.152,316.7,1,1,10-10-2019,815,Aqua,MODIS,36,6.0NRT,302.6,6.7,D
31.412,75.141,320.7,1,1,10-10-2019,815,Aqua,MODIS,70,6.0NRT,302.2,10.3,D
31.402,75.068,315.7,1,1,10-10-2019,815,Aqua,MODIS,21,6.0NRT,302.5,5.7,D
31.391,74.984,312.9,1,1,10-10-2019,815,Aqua,MODIS,49,6.0NRT,301.2,5.5,D
31.389,74.973,312.9,1,1,10-10-2019,815,Aqua,MODIS,49,6.0NRT,301.1,5.4,D
31.414,75.087,317.8,1,1,10-10-2019,815,Aqua,MODIS,67,6.0NRT,302.3,7.3,D
31.413,75.076,316.8,1,1,10-10-2019,815,Aqua,MODIS,64,6.0NRT,302.3,6.7,D
31.458,75.209,316.1,1,1,10-10-2019,815,Aqua,MODIS,0,6.0NRT,302.7,6.9,D
31.419,74.657,318.6,1,1,10-10-2019,815,Aqua,MODIS,66,6.0NRT,300.5,9.6,D
31.491,75.045,318.1,1,1,10-10-2019,815,Aqua,MODIS,67,6.0NRT,302.1,7.5,D
31.51,75.118,317.1,1,1,10-10-2019,815,Aqua,MODIS,66,6.0NRT,302.6,6.3,D
31.527,75.179,316.4,1,1,10-10-2019,815,Aqua,MODIS,65,6.0NRT,301.9,6.7,D
31.576,75.268,312.7,1,1,10-10-2019,815,Aqua,MODIS,54,6.0NRT,300,5,D
31.555,75.109,333.8,1,1,10-10-2019,815,Aqua,MODIS,85,6.0NRT,303.4,25.5,D
31.518,74.636,313.9,1,1,10-10-2019,815,Aqua,MODIS,51,6.0NRT,300.8,5.9,D
31.525,74.559,316.8,1,1,10-10-2019,815,Aqua,MODIS,62,6.0NRT,302.6,6.6,D
31.642,75.206,315.8,1,1,10-10-2019,815,Aqua,MODIS,54,6.0NRT,301.1,6.3,D
31.635,75.152,315.6,1,1,10-10-2019,815,Aqua,MODIS,63,6.0NRT,301.8,5.2,D
31.66,75.202,318.5,1,1,10-10-2019,815,Aqua,MODIS,69,6.0NRT,300.9,8.9,D
31.673,75.232,314.8,1,1,10-10-2019,815,Aqua,MODIS,62,6.0NRT,301.4,6,D
31.65,74.998,317.8,1,1,10-10-2019,815,Aqua,MODIS,67,6.0NRT,303.4,6.6,D
31.715,75.274,311.2,1,1,10-10-2019,815,Aqua,MODIS,50,6.0NRT,299.2,4.5,D
31.702,75.178,317.3,1,1,10-10-2019,815,Aqua,MODIS,68,6.0NRT,301.2,7.3,D
31.444,73.065,321,1,1,10-10-2019,815,Aqua,MODIS,63,6.0NRT,305.4,6.9,D
