Year,Month,Day,Hour,PM 2.5
2019,10,10,0,101.6
2019,10,10,1,103.1
2019,10,10,2,103.5
2019,10,10,3,103.5
2019,10,10,4,118.7
2019,10,10,5,147
2019,10,10,6,147
2019,10,10,7,145
2019,10,10,8,144.2
2019,10,10,9,58.8
2019,10,10,10,57
2019,10,10,11,56.6
2019,10,10,12,56.6
2019,10,10,13,58.6
2019,10,10,14,58.8
2019,10,10,15,79
2019,10,10,16,82.1
2019,10,10,17,85.4
2019,10,10,18,87
2019,10,10,19,87.1
2019,10,10,20,89.9
2019,10,10,21,93.8
2019,10,10,22,125.3
2019,10,10,23,125.3
2019,10,11,0,120.6
2019,10,11,1,120.7
2019,10,11,2,121.1
2019,10,11,3,131.2
2019,10,11,4,140.2
2019,10,11,5,138
2019,10,11,6,138
2019,10,11,7,141.2
2019,10,11,8,117.2
2019,10,11,9,59.4
2019,10,11,10,60.1
2019,10,11,11,60.1
2019,10,11,12,71.3
2019,10,11,13,76.5
2019,10,11,14,76.9
2019,10,11,15,81.4
2019,10,11,16,86.3
2019,10,11,17,90.2
2019,10,11,18,90.2
2019,10,11,19,62.5
2019,10,11,20,111.9
2019,10,11,21,111.9
2019,10,11,22,111.9
2019,10,11,23,111.9
2019,10,12,0,125.8
2019,10,12,1,125.8
2019,10,12,2,136.8
2019,10,12,3,151.5
2019,10,12,4,147
2019,10,12,5,147
2019,10,12,6,138
2019,10,12,7,135.9
2019,10,12,8,125
2019,10,12,9,81.3
2019,10,12,10,61.1
2019,10,12,11,61.1
2019,10,12,12,59.5
2019,10,12,13,61
2019,10,12,14,60.4
2019,10,12,16,119.9
2019,10,12,17,121.1
2019,10,12,18,121.1
2019,10,12,19,121.1
2019,10,12,20,122.1
2019,10,12,21,68.4
2019,10,12,22,170.4
2019,10,12,23,169.1
2019,10,13,0,169.1
2019,10,13,1,185.6
2019,10,13,2,180.1
2019,10,13,3,182.6
2019,10,13,4,182.6
2019,10,13,5,200.6
2019,10,13,6,213.3
2019,10,13,7,213
2019,10,13,8,140.2
2019,10,13,9,121.7
2019,10,13,10,121.7
2019,10,13,11,115.7
2019,10,13,12,107.6
2019,10,13,13,84.6
2019,10,13,14,85.6
2019,10,13,15,78.8
2019,10,13,16,78.8
2019,10,13,18,119.1
2019,10,13,19,119.1
2019,10,13,20,119.1
2019,10,13,21,129.8
2019,10,13,22,142.3
2019,10,13,23,142.3
2019,10,14,0,142.2
2019,10,14,1,137.9
2019,10,14,2,132
2019,10,14,3,132
2019,10,14,5,153.7
2019,10,14,6,152.3
2019,10,14,7,133.9
2019,10,14,8,118.5
2019,10,14,9,105.4
2019,10,14,10,87.9
2019,10,14,11,83
2019,10,14,12,83
2019,10,14,13,80.1
2019,10,14,14,69.3
2019,10,14,15,68.1
2019,10,14,16,114.3
2019,10,14,17,119.5
2019,10,14,18,120.1
2019,10,14,19,119.6
2019,10,14,20,122.9
2019,10,14,21,113.2
2019,10,14,22,80.3
2019,10,14,23,78.2
2019,10,15,5,146.5
2019,10,15,6,146.5
2019,10,15,7,137
2019,10,15,8,137.4
2019,10,15,9,82.8
2019,10,15,10,87.2
2019,10,15,11,83.3
2019,10,15,12,83.3
2019,10,15,13,85.9
2019,10,15,14,90.1
2019,10,15,15,101.1
2019,10,15,16,115.7
2019,10,15,17,119.1
2019,10,15,18,125.9
2019,10,15,19,127
2019,10,15,20,160.3
2019,10,15,21,160.3
2019,10,15,22,162.3
2019,10,15,23,160.1
2019,10,16,0,85.1
2019,10,16,1,130.8
2019,10,16,2,132.2
2019,10,16,3,132.2
2019,10,16,4,132.8
2019,10,16,5,82.3
2019,10,16,6,69.5
2019,10,16,7,20.8
2019,10,16,8,20
2019,10,16,9,111.7
2019,10,16,10,110.1
2019,10,16,11,121
2019,10,16,12,116.6
2019,10,16,13,114
2019,10,16,14,117.8
2019,10,16,16,138.7
2019,10,16,17,150.4
2019,10,16,18,145
2019,10,16,19,139.5
2019,10,16,20,130.8
2019,10,17,7,130.9
2019,10,17,8,112.2
2019,10,17,10,88.2
2019,10,17,14,97.5
2019,10,17,15,111.1
2019,10,17,16,129.7
2019,10,17,17,131.2
2019,10,17,18,127.6
2019,10,17,19,120.3
2019,10,17,20,119.1
2019,10,17,21,112.7
2019,10,17,22,119
